[05:51:39	]Nesh has connected.
[05:52:43	]Gutsy has connected.
[05:54:13	]Nesh loaded the character 'Charles Richards'
[05:54:17	]Charles Richards is fully healed.
[05:54:28	][OOC] Charles Richards: ok
[05:55:05	]Charles Richards has taken 43 damage from worldspawn.
[05:55:07	]Gutsy created the character 'Callum Crusoe'
[05:55:07	]Callum Crusoe has gained a 'Flashlight' #2237777.
[05:55:07	]Callum Crusoe has gained a 'Black Armband' #2237778.
[05:55:07	]Callum Crusoe has gained a '#26654's Identity Card' #2237779.
[05:55:07	]Gutsy loaded the character 'Callum Crusoe'
[05:56:14	]Charles Richards used command '/UnStuck'.
[05:56:32	]Charles Richards is fully healed.
[05:56:38	][IC] Charles Richards: Hi.
[05:56:44	][IC] Callum Crusoe: Hi.
[05:56:45	][IC] Charles Richards: I like big butts.
[05:56:50	][IC] Callum Crusoe: You lie.
[05:56:53	][IC] Charles Richards: No.
[05:57:09	][IC] Charles Richards: I can't spawn.
[05:57:43	]Gutsy (STEAM_0:1:18485849) has disconnected.
[05:58:23	]Charles Richards has taken 41 damage from worldspawn.
[05:59:08	]Charles Richards used command '/ToggleFlight'.
[05:59:25	]Charles Richards used command '/ToggleRaise'.
[05:59:33	]Charles Richards used command '/Forum'.
[05:59:47	]Nesh (STEAM_0:1:545569447) has disconnected.
[14:31:05	]Gutsy has connected.
[14:31:51	]Gutsy loaded the character 'Callum Crusoe'
[14:41:20	]Gutsy (STEAM_0:1:18485849) has disconnected.
[21:57:28	]ulterior has connected.
[21:57:59	]ulterior loaded the character 'C24:i1.XRAY-74'
[21:58:04	]C24:i1.XRAY-74 is fully healed.
[21:59:14	]C24:i1.XRAY-74 used command '/ToggleRaise'.
[21:59:31	]C24:i1.XRAY-74 has given himself a cmb_spas12.
[21:59:31	]C24:i1.XRAY-74 has gained a 'Spas-12' #2237780.
[21:59:32	]C24:i1.XRAY-74 ran 'EquipUn' on item 'Overwatch Standard-Issue Pulse Rifle' (#2237773)
[21:59:32	]C24:i1.XRAY-74 ran 'Equip' on item 'Spas-12' (#2237780)
[21:59:33	]C24:i1.XRAY-74 ran 'drop' on item 'Overwatch Standard-Issue Pulse Rifle' (#2237773)
[21:59:33	]C24:i1.XRAY-74 has lost a 'Overwatch Standard-Issue Pulse Rifle' #2237773.
[21:59:33	]C24:i1.XRAY-74 used command '/ToggleRaise'.
[21:59:37	]C24:i1.XRAY-74 entered observer.
[21:59:37	]C24:i1.XRAY-74 exited observer at their location.
[21:59:38	]C24:i1.XRAY-74 entered observer.
[21:59:38	]C24:i1.XRAY-74 exited observer at their location.
[21:59:39	]C24:i1.XRAY-74 entered observer.
[21:59:39	]C24:i1.XRAY-74 exited observer at their location.
[21:59:41	]C24:i1.XRAY-74 entered observer.
[21:59:41	]C24:i1.XRAY-74 exited observer at their location.
[21:59:42	]C24:i1.XRAY-74 has taken 77 damage from worldspawn.
[21:59:44	]C24:i1.XRAY-74 is fully healed.
[21:59:44	]C24:i1.XRAY-74 destroyed a 'Overwatch Standard-Issue Pulse Rifle' #2237773.
[22:03:17	]C24:i1.XRAY-74 entered observer.
[22:03:17	]C24:i1.XRAY-74 exited observer at their location.
[22:03:19	]C24:i1.XRAY-74 entered observer.
[22:03:19	]C24:i1.XRAY-74 exited observer at their location.
[22:03:22	]C24:i1.XRAY-74 has taken 184 damage from worldspawn.
[22:03:24	]C24:i1.XRAY-74 is fully healed.
[22:03:26	]C24:i1.XRAY-74 entered observer.
[22:03:26	]C24:i1.XRAY-74 exited observer at their location.
[22:03:27	]C24:i1.XRAY-74 entered observer.
[22:03:27	]C24:i1.XRAY-74 exited observer at their location.
[22:03:31	]C24:i1.XRAY-74 has taken 203 damage from worldspawn.
[22:03:34	]C24:i1.XRAY-74 is fully healed.
[22:03:41	]C24:i1.XRAY-74 entered observer.
[22:03:42	]C24:i1.XRAY-74 exited observer at their location.
[22:03:46	]C24:i1.XRAY-74 entered observer.
[22:03:46	]C24:i1.XRAY-74 exited observer at their location.
[22:03:47	]C24:i1.XRAY-74 entered observer.
[22:03:47	]C24:i1.XRAY-74 exited observer at their location.
[22:03:49	]C24:i1.XRAY-74 entered observer.
[22:03:49	]C24:i1.XRAY-74 exited observer at their location.
[22:03:51	]C24:i1.XRAY-74 entered observer.
[22:03:52	]C24:i1.XRAY-74 exited observer at their location.
[22:03:54	]C24:i1.XRAY-74 entered observer.
[22:03:54	]C24:i1.XRAY-74 exited observer at their location.
[22:03:55	]C24:i1.XRAY-74 entered observer.
[22:03:56	]C24:i1.XRAY-74 exited observer at their location.
[22:03:57	]C24:i1.XRAY-74 entered observer.
[22:04:00	]C24:i1.XRAY-74 exited observer at their location.
[22:04:01	]C24:i1.XRAY-74 entered observer.
[22:04:01	]C24:i1.XRAY-74 exited observer at their location.
[22:04:02	]C24:i1.XRAY-74 entered observer.
[22:04:03	]C24:i1.XRAY-74 exited observer at their location.
[22:04:04	]C24:i1.XRAY-74 destroyed a 'MP-155' #2237679.
[22:04:05	]C24:i1.XRAY-74 entered observer.
[22:04:06	]C24:i1.XRAY-74 exited observer at their location.
[22:04:06	]C24:i1.XRAY-74 destroyed a 'VSK-94' #2237772.
[22:04:07	]C24:i1.XRAY-74 destroyed a 'Uzi' #2237770.
[22:04:07	]C24:i1.XRAY-74 entered observer.
[22:04:12	]C24:i1.XRAY-74 exited observer at their location.
[22:04:40	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[22:04:41	]C24:i1.XRAY-74 has taken 98 damage from C24:i1.XRAY-74.
[22:04:42	]C24:i1.XRAY-74 has taken 16 damage from C24:i1.XRAY-74.
[22:04:42	]C24:i1.XRAY-74 destroyed a 'Model 870' #2237675.
[22:04:42	]C24:i1.XRAY-74 has taken 37 damage from C24:i1.XRAY-74.
[22:04:42	]C24:i1.XRAY-74 has taken 51 damage from C24:i1.XRAY-74.
[22:04:42	]C24:i1.XRAY-74 has taken 60 damage from C24:i1.XRAY-74.
[22:04:43	]C24:i1.XRAY-74 entered observer.
[22:04:44	]C24:i1.XRAY-74 exited observer at their location.
[22:04:44	]C24:i1.XRAY-74 is fully healed.
[22:04:46	]C24:i1.XRAY-74 has taken 18 damage from worldspawn.
[22:04:46	]C24:i1.XRAY-74 entered observer.
[22:04:46	]C24:i1.XRAY-74 exited observer at their location.
[22:04:49	]C24:i1.XRAY-74 is fully healed.
[22:04:49	]C24:i1.XRAY-74 entered observer.
[22:04:49	]C24:i1.XRAY-74 exited observer at their location.
[22:04:52	]C24:i1.XRAY-74 entered observer.
[22:04:52	]C24:i1.XRAY-74 exited observer at their location.
[22:04:54	]C24:i1.XRAY-74 entered observer.
[22:04:56	]C24:i1.XRAY-74 exited observer at their location.
[22:04:56	]C24:i1.XRAY-74 entered observer.
[22:04:56	]C24:i1.XRAY-74 exited observer at their location.
[22:04:59	]C24:i1.XRAY-74 entered observer.
[22:04:59	]C24:i1.XRAY-74 exited observer at their location.
[22:05:02	]C24:i1.XRAY-74 entered observer.
[22:05:02	]C24:i1.XRAY-74 exited observer at their location.
[22:05:05	]C24:i1.XRAY-74 entered observer.
[22:05:05	]C24:i1.XRAY-74 exited observer at their location.
[22:05:08	]C24:i1.XRAY-74 entered observer.
