[17:23:55	]mini strider has fired a toolgun with the name: dynamite
[17:23:57	]mini strider has fired a toolgun with the name: dynamite
[17:23:57	]mini strider destroyed a 'Overwatch Heavy Shotgun' #2686729.
[17:24:00	]mini strider has fired a toolgun with the name: dynamite
[17:24:02	]mini strider has fired a toolgun with the name: dynamite
[17:24:02	]mini strider destroyed a 'Duplet' #2686682.
[17:24:05	]mini strider has fired a toolgun with the name: dynamite
[17:24:05	]mini strider has taken 91 damage from mini strider.
[17:24:05	]mini strider destroyed a 'Coffee Machine' #2383213.
[17:24:05	]mini strider destroyed a 'First Aid Kit' #2556674.
[17:24:05	]mini strider destroyed a 'Light Grey Armband' #2609840.
[17:24:09	]mini strider ran SAM command 'hp' with arguments: '^' '149034'
[17:24:10	]mini strider is fully healed.
[17:24:12	]mini strider has fired a toolgun with the name: dynamite
[17:24:12	]mini strider has fired a toolgun with the name: dynamite
[17:24:13	]mini strider has fired a toolgun with the name: dynamite
[17:24:13	]mini strider destroyed a 'Mini-14' #2686721.
[17:24:13	]mini strider destroyed a 'OSITR' #2686723.
[17:24:13	]mini strider destroyed a 'MP7A1' #2686722.
[17:24:15	]mini strider has fired a toolgun with the name: dynamite
[17:24:16	]mini strider destroyed a 'Trijicon Advanced Combat Optical Gunsight (4x)' #2686739.
[17:24:16	]mini strider destroyed a 'Mini-14' #2686735.
[17:24:16	]mini strider destroyed a 'Trijicon Tactical Advanced Riflescope (3-8x)' #2686738.
[17:24:17	]mini strider has fired a toolgun with the name: dynamite
[17:24:17	]mini strider destroyed a 'M16A2' #2686717.
[17:24:20	]mini strider has fired a toolgun with the name: dynamite
[17:24:25	]mini strider exited observer at their location.
[17:24:30	]mini strider ran SAM command 'scale' with arguments: '^' '0.7'
[17:24:36	]mini strider used command '/ToggleRaise'.
[17:25:32	]mini strider used command '/ToggleRaise'.
[17:25:33	]mini strider used command '/ToggleRaise'.
[17:25:50	]mini strider entered observer.
[17:26:40	]mini strider used command '/ToggleRaise'.
[17:26:51	]mini strider used command '/ToggleRaise'.
[17:27:22	]mini strider destroyed a 'M1911' #2686730.
[17:27:27	]mini strider exited observer at their location.
[17:27:31	]mini strider entered observer.
[17:27:32	]mini strider exited observer at their location.
[17:27:32	]mini strider entered observer.
[17:27:33	]mini strider exited observer at their location.
[17:27:40	]Adalia Torres has hit mini strider dealing 0 damage (CritChance was 0.65).
[17:27:40	]Adalia Torres has critically hit mini strider dealing 0 damage (CritChance was 0.65).
[17:27:40	]Adalia Torres has hit mini strider dealing 12 damage (CritChance was 0.65).
[17:27:40	]mini strider has taken 12 damage from Adalia Torres.
