[15:59:32	]thc has connected.
[16:00:43	]thc loaded the character 'Symeon Griffin'
[16:01:02	]Symeon Griffin entered observer.
[16:01:12	]Symeon Griffin used command '/PlyWhitelist sym vort'.
[16:01:16	]Symeon Griffin used command '/PlyWhitelist sym adm'.
[16:01:19	]Symeon Griffin used command '/PlyWhitelist sym cp'.
[16:01:22	]Symeon Griffin used command '/PlyWhitelist sym ccg'.
[16:01:24	]Symeon Griffin used command '/PlyWhitelist sym guard'.
[16:01:27	]Symeon Griffin used command '/PlyWhitelist sym min'.
[16:01:32	]Symeon Griffin used command '/PlyWhitelist sym Minist'.
[16:01:35	]Symeon Griffin used command '/PlyWhitelist sym Ministry'.
[16:01:40	]Symeon Griffin used command '/PlyWhitelist sym Ministry of C'.
[16:01:47	]Symeon Griffin used command '/PlyWhitelist sym trans'.
[16:01:50	]Symeon Griffin used command '/PlyWhitelist sym bird'.
[16:01:53	]Symeon Griffin used command '/PlyWhitelist sym head'.
[16:01:56	]Symeon Griffin used command '/PlyWhitelist sym "ai'.
[16:01:59	]Symeon Griffin used command '/PlyWhitelist sym ai'.
[16:02:02	]Symeon Griffin used command '/PlyWhitelist sym overwatch'.
[16:02:07	]Symeon Griffin used command '/PlyWhitelist sym "cremator'.
[16:02:09	]Symeon Griffin used command '/PlyWhitelist sym cremator'.
[16:02:12	]Symeon Griffin used command '/PlyWhitelist sym stalker'.
[16:02:40	]thc created the character '11111111111111111111111'
[16:02:40	]thc loaded the character '11111111111111111111111'
[16:02:40	]11111111111111111111111 has gained a '#59848's Identity Card' #2046331.
[16:02:40	]11111111111111111111111 has gained a 'Combine PDA' #2046332.
[16:06:09	]thc created the character 'Ku'Tas'
[16:06:10	]thc loaded the character 'Ku'Tas'
[16:06:24	]Ku'Tas ran SAM command 'admin' with arguments: ''
[16:06:26	]Ku'Tas ran SAM command 'unadmin' with arguments: ''
[16:07:13	]Ku'Tas used command '/SetMood relaxed'.
[16:07:25	]Ku'Tas used command '/SetMood headstrong'.
[16:07:52	]Ku'Tas used command '/SetMood scared'.
[16:07:58	]Ku'Tas used command '/SetMood default'.
[16:08:08	]Ku'Tas used command '/CreateCid ku'.
[16:08:08	]Ku'Tas has gained a '#03740's Identity Card' #2046333.
[16:08:24	]Ku'Tas used command '/ViewInfo ku'.
[16:09:04	]Ku'Tas has gained level 20 in the Vortessence skill.
[16:09:04	]Ku'Tas used command '/CharSkillAdd ku vort 20'.
[16:09:15	]Ku'Tas has gained level 20 in the Speed skill.
[16:09:15	]Ku'Tas used command '/CharSkillAdd ku spee 20'.
[16:09:19	]Ku'Tas has gained level 30 in the Crafting skill.
[16:09:19	]Ku'Tas used command '/CharSkillAdd ku cra 20'.
[16:09:38	]Ku'Tas used command '/CharSkillReset ku craft'.
[16:09:49	]Ku'Tas has gained level 10 in the Crafting skill.
[16:09:49	]Ku'Tas used command '/CharSkillAdd ku craft 10'.
[16:09:52	]Ku'Tas has gained level 20 in the Crafting skill.
[16:09:52	]Ku'Tas used command '/CharSkillAdd ku craft 10'.
[16:10:05	]Ku'Tas has gained level 20 in the Medicine skill.
[16:10:05	]Ku'Tas used command '/CharSkillAdd ku med 20'.
[16:10:10	]Ku'Tas has gained level 20 in the Cooking skill.
[16:10:10	]Ku'Tas used command '/CharSkillAdd ku coo 20'.
[16:10:18	]Ku'Tas has gained level 20 in the Smuggling skill.
[16:10:18	]Ku'Tas used command '/CharSkillAdd ku smug 20'.
[16:11:59	]Ku'Tas entered observer.
[16:12:07	]thc (STEAM_0:1:709534478) has disconnected.
[18:12:50	]dudeperson has connected.
[18:13:54	]dudeperson loaded the character 'Mark Redfern'
[18:13:59	]Mark Redfern is fully healed.
[18:14:13	]Mark Redfern opened the 'Sewer Stash' stash.
[18:14:21	]Mark Redfern closed the 'Sewer Stash' stash.
[18:14:24	]dudeperson (STEAM_0:0:10470765) has disconnected.
