[22:24:37	][IC] Anders Stauning: I am here to kill Combine.
[22:24:37	][IC] S10/OWS.GHOST-52: <:: I think im applying for krOTA. ::>
[22:24:39	][IC] Anders Stauning: And eat rations.
[22:24:40	][IC] S10/APF.GHOST-65: <:: Spikes ineffective. Target is unskilled. ::>
[22:24:42	]Anders Stauning entered observer.
[22:24:43	][OOC] Tamara Lahtizer: I require *The whitelist*
[22:24:43	][IC] S10/APF.GHOST-65: <:: I am gonna. ::>
[22:24:44	][IC] S10/APF.GHOST-65: <:: Spam this. ::>
[22:24:44	]Anders Stauning exited observer at their location.
[22:24:45	][IC] S10/APF.GHOST-65: <:: I am gonna. ::>
[22:24:47	][IC] S10/OWS.GHOST-52: <:: Unskilled. ::>
[22:24:47	][IC] S10/APF.GHOST-65: <:: Spikes ineffective. Target is unskilled. ::>
[22:24:49	][IC] Anders Stauning: You cannot stop me...
[22:24:50	]Anders Stauning entered observer.
[22:24:52	]S10/APF.GHOST-65 used command '/ToggleRaise'.
[22:24:53	]Anders Stauning exited observer at their location.
[22:24:55	]Anders Stauning entered observer.
[22:24:55	][IC] S10/OWS.GHOST-52: <:: Target has failed! ::>
[22:24:57	]Zor'thakar-ival'thor-Etanii used command '/ToggleMentor'.
[22:24:57	]Anders Stauning exited observer at their location.
[22:24:57	]Anders Stauning entered observer.
[22:24:58	][IC] S10/OWS.GHOST-52: <:: Target is at low motivation. ::>
[22:25:00	][IC] S10/APF.GHOST-65: <:: Hostile is experiencing extreme panic. ::>
[22:25:00	][IC] S10/OWS.GHOST-52: <:: Hostile is showing fatigue, prepare containment! ::>
[22:25:01	]Anders Stauning exited observer at their location.
[22:25:03	][IC] S10/OWS.GHOST-52: <:: Spikes ineffective, target is unskilled! ::>
[22:25:04	]Anders Stauning entered observer.
[22:25:07	][OOC] Zor'thakar-ival'thor-Etanii: why doesnt mentor work on the dev server :(
[22:25:08	]Anders Stauning exited observer at their location.
[22:25:08	]S10/OWS.GHOST-52 used the 'John Doe' vendor.
[22:25:13	][IC] Anders Stauning: Dumbass.
[22:25:14	][OOC] Tamara Lahtizer: Feelsbad
[22:25:14	]Anders Stauning entered observer.
[22:25:15	]S10/APF.GHOST-65 used command '/ToggleRaise'.
[22:25:21	]Zor'thakar-ival'thor-Etanii has spawned 'models/props_c17/fence01b.mdl'.
[22:25:23	]Anders Stauning exited observer at their location.
[22:25:23	][IC] S10/OWS.GHOST-52: <:: Get in the van. ::>
[22:25:25	]Zor'thakar-ival'thor-Etanii has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[22:25:26	][IC] S10/OWS.GHOST-52: <:: Get in the van! ::>
[22:25:26	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:25:27	]Anders Stauning entered observer.
[22:25:32	]Anders Stauning exited observer at their location.
[22:25:36	]Anders Stauning used command '/Handsignals'.
[22:25:39	]Least Obvious OSI Agent loaded the character 'Don Lorenzo'
[22:25:40	]Anders Stauning used command '/Handsignals'.
[22:25:40	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:25:41	][IC] S10/OWS.GHOST-52: <:: We're not dumping it in the pit because it's safe. Keep moving. ::>
[22:25:43	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:25:43	]Anders Stauning entered observer.
[22:25:44	]Don Lorenzo is fully healed.
[22:25:44	]Anders Stauning exited observer at their location.
[22:25:47	]Anders Stauning used command '/Handsignals'.
[22:25:52	][IC] Anders Stauning: Hey down there! Supplies!
[22:25:57	][IC] S10/APF.GHOST-65: <:: Target is at low motivation, take advantage. ::>
[22:26:00	][IC] Zor'thakar-ival'thor-Etanii: Yes...
[22:26:03	][IC] S10/OWS.GHOST-52: <:: Overwatch, team is down, sector is not controlled. ::>
[22:26:04	][OOC] Don Lorenzo: Hey
[22:26:05	][IC] S10/APF.GHOST-65: <:: Hostile attacks are ineffective, proceeding with containment. ::>
[22:26:07	]S10/OWS.GHOST-52 used the 'John Doe' vendor.
[22:26:07	][IC] Anders Stauning: I am ready to kill more combine, friend...
[22:26:07	]Tuki loaded the character 'Syrthal'kar'
[22:26:07	]Syrthal'kar their 'housing block stash' stash no longer exists, location reset.
[22:26:11	]Zor'thakar-ival'thor-Etanii ran 'drop' on item '#54678's Identity Card' (#1995582)
[22:26:11	]Zor'thakar-ival'thor-Etanii has lost a '#54678's Identity Card' #1995582.
[22:26:12	]Syrthal'kar is fully healed.
[22:26:14	][IC] Zor'thakar-ival'thor-Etanii: Recognize this?
[22:26:15	]Don Lorenzo used command '/ToggleRaise'.
[22:26:16	][IC] S10/OWS.GHOST-52: <:: Updating biodat. Stimdose 32, daggers 78, fuel 100, lifeprox 73, audibles 3, lifevis 15, Echo out. ::>
[22:26:18	]Don Lorenzo used command '/ToggleRaise'.
[22:26:19	]Don Lorenzo used command '/ToggleRaise'.
[22:26:22	][IC] Anders Stauning: You bastard...
[22:26:34	][IC] S10/OWS.GHOST-52: <:: Is field promoted to LEADER-1, holding. ::>
[22:26:34	][IC] Anders Stauning: That's my sister's husband you killed!
[22:26:41	][IC] Anders Stauning: Canon by the way...
[22:26:43	][IC] S10/OWS.GHOST-52: <:: I have her! ::>
[22:26:44	][IC] S10/APF.GHOST-65: <:: They took my white...list... ::>
[22:26:44	]Zor'thakar-ival'thor-Etanii used command '/VortStun'.
[22:26:45	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:26:46	]S10/OWS.GHOST-52 used command '/ToggleRaise'.
[22:26:46	][IC] Zor'thakar-ival'thor-Etanii: Die.
[22:26:48	]S10/APF.GHOST-65 has gained 0 chips.
[22:26:48	]S10/APF.GHOST-65 has gained a '24rnd Heavy-Pulse Magazine' #2048587.
[22:26:49	]S10/APF.GHOST-65 has gained 0 chips.
[22:26:49	]S10/APF.GHOST-65 has gained a '24rnd Heavy-Pulse Magazine' #2048588.
[22:26:49	]S10/APF.GHOST-65 has gained 0 chips.
[22:26:49	]S10/APF.GHOST-65 has gained a '24rnd Heavy-Pulse Magazine' #2048589.
[22:26:49	][IC] Anders Stauning: Ow.
[22:26:50	]S10/OWS.GHOST-52 used command '/ToggleRaise'.
[22:26:53	]Anders Stauning ran SAM command 'respawn' with arguments: '^'
[22:26:53	]S10/APF.GHOST-65 ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#2048135)
[22:26:55	][ME] S10/OWS.GHOST-52: Pulls the trigger of their firearm. Unloading a hail of bullets into their target
[22:26:55	]Anders Stauning entered observer.
[22:26:55	]Anders Stauning used command '/CharGetUp'.
[22:26:56	]S10/OWS.GHOST-52 used command '/WaypointAdd Visual-Uplink 60 red'.
[22:27:02	]Dog has connected.
[22:27:02	]Don Lorenzo used command '/ActStand 4'.
[22:27:04	]S10/APF.GHOST-65 ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#2048137)
[22:27:05	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:27:06	]Moses has connected.
[22:27:08	][IC] Zor'thakar-ival'thor-Etanii: Shaaaaa!
[22:27:13	]Anders Stauning exited observer at their location.
[22:27:14	]Anders Stauning used command '/CharFallOver'.
[22:27:14	][IC] S10/OWS.GHOST-52: <:: Viscon negative on hostile. ::>
[22:27:16	]Anders Stauning has taken 50 damage from worldspawn.
[22:27:17	][IC] Tamara Lahtizer: Galanga.
[22:27:20	]Anders Stauning used command '/CharGetUp'.
[22:27:20	][IC] Syrthal'kar: Galanga.
[22:27:23	]Anders Stauning ran SAM command 'hp' with arguments: '^' '100'
[22:27:24	][IC] S10/OWS.GHOST-52: <:: Overwatch, we have active hostiles. Request preparations. ::>
[22:27:26	]Anders Stauning entered observer.
[22:27:26	][IC] S10/APF.GHOST-65: <:: Stfu. ::>
[22:27:27	]Anders Stauning is fully healed.
[22:27:29	]Tamara Lahtizer used command '/ToggleRaise'.
[22:27:29	][IC] S10/APF.GHOST-65: <:: Im trying to hear vc. ::>
[22:27:30	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:27:30	]Don Lorenzo used command '/PM thor hi...'.
[22:27:32	]Don Lorenzo used command '/ExitAct'.
[22:27:33	][IC] Syrthal'kar: Galanga.
[22:27:34	]S10/APF.GHOST-65 has gained 0 chips.
[22:27:34	][IC] S10/OWS.GHOST-52: <:: Ready weapons3. ::>
[22:27:34	]S10/APF.GHOST-65 has gained a 'Heavy Pulse Rounds' #2048590.
[22:27:35	]Zor'thakar-ival'thor-Etanii used command '/PM lorenzo omg'.
[22:27:35	]S10/APF.GHOST-65 has gained 0 chips.
[22:27:35	]S10/APF.GHOST-65 has gained a 'Heavy Pulse Rounds' #2048591.
[22:27:36	][IC] S10/OWS.GHOST-52: <:: No. ::>
[22:27:36	]S10/APF.GHOST-65 has gained 0 chips.
[22:27:36	]S10/APF.GHOST-65 has gained a 'Heavy Pulse Rounds' #2048592.
[22:27:36	]S10/APF.GHOST-65 has gained 0 chips.
[22:27:36	]S10/APF.GHOST-65 has gained a 'Heavy Pulse Rounds' #2048593.
[22:27:36	][Y] Tamara Lahtizer: Get back!
[22:27:37	]S10/APF.GHOST-65 has gained 0 chips.
[22:27:37	]S10/APF.GHOST-65 has gained a 'Heavy Pulse Rounds' #2048594.
[22:27:37	]S10/APF.GHOST-65 has gained 0 chips.
[22:27:37	]S10/APF.GHOST-65 has gained a 'Heavy Pulse Rounds' #2048595.
[22:27:38	]S10/APF.GHOST-65 has gained 0 chips.
[22:27:38	]S10/APF.GHOST-65 has gained a 'Heavy Pulse Rounds' #2048596.
[22:27:39	][IC] S10/OWS.GHOST-52: <:: Ready weapons hostiles inbound. ::>
[22:27:40	]Anders Stauning exited observer at their location.
[22:27:40	]Anders Stauning used command '/CharFallOver'.
[22:27:40	]S10/APF.GHOST-65 ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#2048589)
[22:27:40	]booile has connected.
[22:27:40	]S10/OWS.GHOST-52 used the 'John Doe' vendor.
[22:27:41	]S10/APF.GHOST-65 ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#2048588)
[22:27:42	]Anders Stauning has taken 50 damage from worldspawn.
[22:27:42	]S10/APF.GHOST-65 ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#2048587)
[22:27:43	]Tamara Lahtizer has hit Syrthal'kar dealing 10 damage (CritChance was 0.27).
[22:27:43	]Syrthal'kar has taken 10 damage from Tamara Lahtizer.
[22:27:44	]Anders Stauning ran SAM command 'hp' with arguments: '^' '100'
[22:27:44	]S10/APF.GHOST-65 ran 'combine' on item '24rnd Heavy-Pulse Magazine' (#2048137)
[22:27:44	]Anders Stauning used command '/CharGetUp'.
[22:27:45	]Don Lorenzo used command '/PM thor The thor.. . It's been a long time'.
[22:27:45	]Anders Stauning used command '/CharGetUp'.
[22:27:46	]S10/APF.GHOST-65 ran 'drop' on item 'Heavy Pulse Rounds' (#2048591)
[22:27:46	]S10/APF.GHOST-65 has lost a 'Heavy Pulse Rounds' #2048591.
[22:27:46	]Anders Stauning used command '/CharGetUp'.
[22:27:46	]S10/APF.GHOST-65 ran 'drop' on item 'Heavy Pulse Rounds' (#2048592)
[22:27:46	]S10/APF.GHOST-65 has lost a 'Heavy Pulse Rounds' #2048592.
[22:27:47	]S10/APF.GHOST-65 ran 'drop' on item 'Heavy Pulse Rounds' (#2048593)
[22:27:47	]S10/APF.GHOST-65 has lost a 'Heavy Pulse Rounds' #2048593.
[22:27:47	]Anders Stauning is fully healed.
[22:27:47	]S10/APF.GHOST-65 ran 'drop' on item 'Heavy Pulse Rounds' (#2048596)
[22:27:47	]S10/APF.GHOST-65 has lost a 'Heavy Pulse Rounds' #2048596.
[22:27:47	]Syrthal'kar is fully healed.
[22:27:48	]S10/APF.GHOST-65 used command '/ToggleRaise'.
[22:27:49	]S10/APF.GHOST-65 destroyed a 'Heavy Pulse Rounds' #2048596.
[22:27:50	]S10/APF.GHOST-65 destroyed a 'Heavy Pulse Rounds' #2048593.
[22:27:51	]S10/APF.GHOST-65 destroyed a 'Heavy Pulse Rounds' #2048591.
[22:27:52	]Anders Stauning entered observer.
[22:27:52	]S10/APF.GHOST-65 destroyed a 'Heavy Pulse Rounds' #2048592.
[22:27:53	]Anders Stauning exited observer at their location.
[22:27:54	]Anders Stauning used command '/CharFallOver'.
[22:27:56	]Anders Stauning used command '/CharGetUp'.
[22:27:57	]Anders Stauning used command '/CharGetUp'.
[22:27:58	]Anders Stauning used command '/CharGetUp'.
[22:27:59	]Anders Stauning used command '/CharGetUp'.
[22:27:59	]Anders Stauning was knocked unconscious and is bleeding out.
[22:27:59	][IC] S10/OWS.GHOST-52: <:: Sream3. ::>
[22:27:59	]Anders Stauning used command '/CharGetUp'.
[22:28:00	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:28:00	]Anders Stauning used command '/CharGetUp'.
[22:28:01	][IC] S10/OWS.GHOST-52: <:: **Screaming**. ::>
[22:28:03	]Anders Stauning ran SAM command 'hp' with arguments: '^' '100'
[22:28:03	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:28:04	]Anders Stauning used command '/CharGetUp'.
[22:28:07	]Anders Stauning is no longer unconscious from critical wounds.
[22:28:07	]Anders Stauning is fully healed.
[22:28:08	]Tamara Lahtizer used command '/ToggleRaise'.
[22:28:10	]Anders Stauning used command '/CharStopBleedout ^'.
[22:28:11	]Anders Stauning entered observer.
[22:28:12	]S10/APF.GHOST-65 has gained 0 chips.
[22:28:12	]S10/APF.GHOST-65 has gained a 'Health Syringe' #2048597.
[22:28:13	]S10/APF.GHOST-65 has gained 0 chips.
[22:28:13	]S10/APF.GHOST-65 has gained a 'Health Syringe' #2048598.
[22:28:13	]S10/APF.GHOST-65 has gained 0 chips.
[22:28:13	]S10/APF.GHOST-65 has gained a 'Health Syringe' #2048599.
[22:28:16	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048597)
[22:28:16	]S10/APF.GHOST-65 has performed the 'Use Health Syringe' action, gaining 46 experience in medicine.
[22:28:16	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:16	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:16	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048597)
[22:28:16	]S10/APF.GHOST-65 has performed the 'Use Health Syringe' action, gaining 46 experience in medicine.
[22:28:16	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:16	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:16	][IC] S10/OWS.GHOST-52: <:: Ground team alert, target one has extractors. ::>
[22:28:17	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048597)
[22:28:17	]S10/APF.GHOST-65 has performed the 'Use Health Syringe' action, gaining 40 experience in medicine.
[22:28:17	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:17	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:17	]Anders Stauning ran SAM command 'god' with arguments: '^'
[22:28:17	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048598)
[22:28:17	]S10/APF.GHOST-65 has performed the 'Use Health Syringe' action, gaining 16 experience in medicine.
[22:28:17	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:17	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:18	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048598)
[22:28:18	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:18	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:18	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048598)
[22:28:18	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:18	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:18	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048599)
[22:28:18	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:18	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:19	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048599)
[22:28:19	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:19	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:19	]Zor'thakar-ival'thor-Etanii ran 'Consume' on item 'Raw Headcrab Meat' (#1998074)
[22:28:20	]S10/APF.GHOST-65 ran 'use' on item 'Health Syringe' (#2048599)
[22:28:20	]S10/APF.GHOST-65 was disinfected by S10/APF.GHOST-65 for 36 seconds.
[22:28:20	]S10/APF.GHOST-65 was bandaged by S10/APF.GHOST-65 for 30 HP.
[22:28:21	]Anders Stauning exited observer at their location.
[22:28:22	]Anders Stauning used command '/Handsignals'.
[22:28:22	][IC] Tamara Lahtizer: Grim Pinata.
[22:28:25	]Anders Stauning was knocked unconscious and is bleeding out.
[22:28:25	]S10/APF.GHOST-65 ran 'Repair' on item 'OTA Suppressor Uniform' (#2048104)
[22:28:25	]Repair Plating owned by S10/APF.GHOST-65 just broke due to usage.
[22:28:32	][IC] S10/OWS.GHOST-52: <:: Distribute. ::>
[22:28:35	]Anders Stauning ran SAM command 'god' with arguments: '^'
