[20:02:50	][OOC] Hayden: Mostly street to nexus tbh
[20:02:54	][OOC] Hank J. Wimleton: ok
[20:03:00	]Hayden has used a context menu option with the name: vendor_edit
[20:03:03	]Hank J. Wimleton used command '/ToggleRaise'.
[20:03:08	]Hank J. Wimleton has spawned 'models/props_lab/blastdoor001c.mdl'.
[20:03:10	]Hank J. Wimleton has spawned 'models/props_lab/blastdoor001c.mdl'.
[20:03:26	]Hayden entered observer.
[20:03:28	]Hayden exited observer at their location.
[20:03:33	]Hayden has spawned a 'Entity [6385][ix_vendor]'.
[20:03:38	]Hank J. Wimleton has spawned 'models/props_lab/blastdoor001a.mdl'.
[20:03:39	]Hayden has used a context menu option with the name: vendor_edit
[20:03:40	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:03:54	]Hank J. Wimleton has spawned 'models/props_lab/blastdoor001c.mdl'.
[20:04:02	]Hank J. Wimleton has spawned 'models/props_lab/blastdoor001a.mdl'.
[20:04:21	]Hayden has used a context menu option with the name: vendor_edit
[20:04:28	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:04:47	]Hayden used command '/CharGiveItem hayden par2'.
[20:05:00	]Hank J. Wimleton has spawned 'models/props_c17/furnitureStove001a.mdl'.
[20:05:06	]Hayden has used a context menu option with the name: vendor_edit
[20:05:06	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[20:05:26	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[20:05:41	]Hank J. Wimleton has fired a toolgun with the name: remover
[20:05:46	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[20:05:48	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[20:05:54	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[20:06:00	]Hank J. Wimleton has taken 20 damage from Hank J. Wimleton.
[20:06:17	]Hayden has used a context menu option with the name: vendor_edit
[20:06:21	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:06:44	]Hayden entered observer.
[20:06:55	]Hayden exited observer at their location.
[20:06:57	]Hayden has used a context menu option with the name: vendor_edit
[20:07:14	]Hayden entered observer.
[20:07:20	]Hayden exited observer at their location.
[20:07:21	]Hayden entered observer.
[20:07:23	][OOC] Hayden: nice
[20:07:30	][OOC] Hank J. Wimleton: i think the defences are a bit too op
[20:07:41	]Hayden exited observer at their location.
[20:07:45	]Hayden entered observer.
[20:07:47	]Hayden exited observer at their location.
[20:07:49	]Hayden entered observer.
[20:07:54	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[20:08:05	][OOC] Hayden: Ye don't go too overboard but tbh nearer the nexus there's some good defences anyways
[20:08:07	]Hayden exited observer at their location.
[20:08:09	]Hayden used the 'John Doe' vendor.
[20:08:11	]Hayden has gained 0 chips.
[20:08:11	]Hayden has gained a 'MP7A1' #2686770.
[20:08:12	]Hayden entered observer.
[20:08:13	]Hayden exited observer at their location.
[20:08:16	]Hayden ran 'Equip' on item 'MP7A1' (#2686770)
[20:08:36	]Hayden has spawned a 'NPC [6508][npc_citizen]'.
[20:08:39	][OOC] Hank J. Wimleton: like where are the starting points tbh. I should of asked that lmao
[20:08:43	]Hayden has critically hit npc_citizen in the chest dealing 11 damage (CritChance was 0.59).
[20:08:43	]Hayden has hit npc_citizen in the head dealing 7 damage (CritChance was 0.59).
[20:08:43	]Hayden has critically hit npc_citizen in the head dealing 11 damage (CritChance was 0.59).
[20:08:52	][OOC] Hayden: making sure people can shoot through the field
[20:08:54	]Hayden entered observer.
[20:09:05	][OOC] Hayden: rebels start here
[20:09:10	][OOC] Hayden: Combine start near nexus
[20:09:11	]Hayden ran SAM command 'hp' with arguments: 'Hank'
[20:09:13	]Hank J. Wimleton is fully healed.
[20:09:13	][OOC] Hank J. Wimleton: ok 
[20:09:25	]Hank J. Wimleton has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[20:09:44	]Hayden exited observer at their location.
[20:09:45	]Hank J. Wimleton has spawned 'models/props_c17/concrete_barrier001a.mdl'.
[20:09:51	]Hayden entered observer.
[20:10:24	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:11:03	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:11:15	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:11:24	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[20:11:36	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:11:42	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[20:12:00	]Hank J. Wimleton has spawned 'models/props_wasteland/kitchen_fridge001a.mdl'.
[20:12:03	]Hayden used the 'John Doe' vendor.
[20:12:12	]Hank J. Wimleton has spawned 'models/props_wasteland/kitchen_counter001b.mdl'.
[20:12:43	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[20:12:45	]Hank J. Wimleton has spawned 'models/props_wasteland/laundry_dryer001.mdl'.
[20:13:04	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:13:16	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[20:13:18	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:13:46	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[20:14:02	]Hank J. Wimleton has spawned 'models/props_wasteland/kitchen_fridge001a.mdl'.
[20:14:13	]Hank J. Wimleton has spawned 'models/props_wasteland/kitchen_counter001d.mdl'.
[20:14:17	]Hank J. Wimleton has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[20:14:20	]Hayden has gained 0 chips.
[20:14:20	]Hayden has gained a 'MP-153' #2686771.
[20:14:21	]Hank J. Wimleton has spawned 'models/props_combine/breendesk.mdl'.
[20:14:26	]Hayden ran 'drop' on item 'MP7A1' (#2686770)
[20:14:26	]Hayden has lost a 'MP7A1' #2686770.
[20:14:28	]Hayden has used a context menu option with the name: remove
[20:14:35	]Hayden ran 'Equip' on item 'MP-153' (#2686771)
[20:14:47	]Hank J. Wimleton has spawned 'models/props_junk/PushCart01a.mdl'.
[20:15:10	]Hayden used the 'John Doe' vendor.
[20:15:23	]Hayden has gained 0 chips.
[20:15:23	]Hayden has gained a 'VSK-94' #2686772.
[20:15:28	]Hayden ran 'drop' on item 'VSK-94' (#2686772)
[20:15:28	]Hayden has lost a 'VSK-94' #2686772.
[20:15:28	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_desk001b.mdl'.
[20:15:28	]Hayden ran 'drop' on item 'MP-153' (#2686771)
[20:15:28	]Hayden has lost a 'MP-153' #2686771.
[20:15:31	]Hayden has used a context menu option with the name: remove
[20:15:32	]Hayden has used a context menu option with the name: remove
[20:15:33	]Hayden used the 'John Doe' vendor.
[20:16:00	]Hayden has used a context menu option with the name: vendor_edit
[20:16:14	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[20:16:31	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[20:16:39	]Hank J. Wimleton has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[20:16:53	]Hayden has used a context menu option with the name: vendor_edit
[20:17:17	]Hank J. Wimleton has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[20:17:26	]Hayden used the 'John Doe' vendor.
[20:17:34	][OOC] Hank J. Wimleton: i think rebel side looks good enough
[20:17:39	][OOC] Hayden: Yeah it looks good
[20:17:53	]Hayden opened the 'Large Metal Cabinet' #120763 container.
[20:17:55	]Hayden ran 'drop' on item 'Overwatch Pulse Submachine-gun' (#2686757)
[20:17:55	]Hayden closed the 'Large Metal Cabinet' #120763 container.
[20:17:57	]Hayden has used a context menu option with the name: remove
[20:17:58	][OOC] Hank J. Wimleton: should i make some defences for the OTA / CP guys e.g the other side or will you do that?
[20:18:06	]Hank J. Wimleton used the 'John Doe' vendor.
[20:18:09	]Hank J. Wimleton has gained 0 chips.
[20:18:09	]Hank J. Wimleton has gained a 'Makeshift AK' #2686773.
[20:18:11	]Hank J. Wimleton ran 'Equip' on item 'Makeshift AK' (#2686773)
[20:18:14	]Hank J. Wimleton used command '/ToggleRaise'.
[20:18:17	][OOC] Hayden: You can if you feel up for it, I've gotta look around the map and think up scenarios & locations
[20:18:42	]Hayden has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[20:18:43	][OOC] Hank J. Wimleton: yeesh makeshift aks kinda op if you aim down sights
[20:18:52	][OOC] Hayden: A lot of the weapons are very silly
