[16:54:28	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 0 damage (CritChance was 0.42).
[16:54:28	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 13 damage (CritChance was 0.42).
[16:54:28	]Willy Billy Skibidi Networks has critically hit npc_vj_assassin_synth_z dealing 21 damage (CritChance was 0.42).
[16:54:28	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 0 damage (CritChance was 0.42).
[16:54:28	]Willy Billy Skibidi Networks has critically hit npc_vj_assassin_synth_z dealing 21 damage (CritChance was 0.42).
[16:54:29	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 13 damage (CritChance was 0.42).
[16:54:29	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 0 damage (CritChance was 0.42).
[16:54:29	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 13 damage (CritChance was 0.42).
[16:54:29	]Willy Billy Skibidi Networks has critically hit npc_vj_assassin_synth_z dealing 21 damage (CritChance was 0.42).
[16:54:30	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 0 damage (CritChance was 0.42).
[16:54:30	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 13 damage (CritChance was 0.42).
[16:54:30	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 13 damage (CritChance was 0.42).
[16:54:30	]Willy Billy Skibidi Networks has taken 5 damage from Assassin Synth.
[16:54:30	]Willy Billy Skibidi Networks has hit npc_vj_assassin_synth_z dealing 13 damage (CritChance was 0.42).
[16:54:31	]Willy Billy Skibidi Networks has taken 15 damage from obj_vj_hopwire_z.
[16:54:38	]Willy Billy Skibidi Networks has spawned a 'NPC [4760][npc_vj_novaprospekt_soldier_z]'.
[16:54:38	]Willy Billy Skibidi Networks has critically hit npc_vj_novaprospekt_soldier_z in the head dealing 23 damage (CritChance was 0.42).
[16:54:39	]Willy Billy Skibidi Networks has taken 12 damage from Nova Prospekt Soldier.
[16:54:39	]Willy Billy Skibidi Networks has taken 3 damage from Nova Prospekt Soldier.
[16:54:39	]Willy Billy Skibidi Networks has hit npc_vj_novaprospekt_soldier_z dealing 13 damage (CritChance was 0.42).
[16:54:39	]Willy Billy Skibidi Networks has taken 3 damage from Nova Prospekt Soldier.
[16:54:39	]Willy Billy Skibidi Networks has taken 12 damage from Nova Prospekt Soldier.
[16:54:39	]Willy Billy Skibidi Networks was knocked unconscious and is bleeding out.
[16:54:42	]thc (STEAM_0:1:709534478) has disconnected.
