[00:13:05	]that guy from walking dead has gained a '30rnd AKM Magazine' #2693093.
[00:13:05	]that guy from walking dead has lost a '30rnd AKM Magazine' #2693094.
[00:13:17	]that guy from walking dead used command '/ToggleRaise'.
[00:13:32	]Furret No Furry Asimo loaded the character 'Sukk'Ma'Dicc'
[00:13:36	]Sukk'Ma'Dicc is fully healed.
[00:13:50	]Sukk'Ma'Dicc entered observer.
[00:13:54	]that guy from walking dead ran 'drop' on item 'AKM' (#2693092)
[00:13:54	]that guy from walking dead has lost a 'AKM' #2693092.
[00:13:58	][OOC] Sukk'Ma'Dicc: Sorry gonna need to slap you
[00:13:58	]that guy from walking dead has given himself a res_155.
[00:13:58	]that guy from walking dead has gained a 'MP-155' #2693103.
[00:14:00	]that guy from walking dead ran 'Equip' on item 'MP-155' (#2693103)
[00:14:00	]that guy from walking dead used command '/ToggleRaise'.
[00:14:01	]Sukk'Ma'Dicc exited observer at their location.
[00:14:02	][OOC] that guy from walking dead: k
[00:14:04	]Sukk'Ma'Dicc has hit that guy from walking dead dealing 86 damage (CritChance was 0.00).
[00:14:04	]that guy from walking dead has taken 86 damage from Sukk'Ma'Dicc.
[00:14:08	][OOC] that guy from walking dead: wow that does a lot of dmg
[00:14:10	]Sukk'Ma'Dicc has hit that guy from walking dead dealing 86 damage (CritChance was 0.00).
[00:14:10	]that guy from walking dead has taken 86 damage from Sukk'Ma'Dicc.
[00:14:15	][OOC] that guy from walking dead: wow that does a lot of dmg
[00:14:16	]that guy from walking dead is fully healed.
[00:14:18	][IC] Sukk'Ma'Dicc: Don't.
[00:14:19	][IC] Sukk'Ma'Dicc: Set.
[00:14:20	][IC] Sukk'Ma'Dicc: HP.
[00:14:20	][IC] that guy from walking dead: Why.
[00:14:21	]Sukk'Ma'Dicc has hit that guy from walking dead dealing 86 damage (CritChance was 0.00).
[00:14:21	]that guy from walking dead has taken 86 damage from Sukk'Ma'Dicc.
[00:14:26	]Sukk'Ma'Dicc has hit that guy from walking dead dealing 86 damage (CritChance was 0.00).
[00:14:26	]that guy from walking dead was knocked unconscious and is bleeding out.
[00:14:32	][IC] that guy from walking dead: I can just tellyou how much it does.
[00:14:36	]that guy from walking dead is fully healed.
[00:14:38	][IC] Sukk'Ma'Dicc: That's not what I was testing.
[00:14:42	][IC] that guy from walking dead: Testing if it slays?
[00:14:43	][IC] Sukk'Ma'Dicc: Anyways.
[00:14:55	][IC] Sukk'Ma'Dicc: Before it'd put you into fallover even if you went into bleedout.
[00:14:57	]that guy from walking dead has given himself a magazine_shotgun5.
[00:14:57	]that guy from walking dead has gained a '5rnd Shotgun Magazine' #2693104.
[00:15:00	]that guy from walking dead has given himself a magazine_shotgun5.
[00:15:01	]that guy from walking dead has gained a '5rnd Shotgun Magazine' #2693105.
[00:15:02	]that guy from walking dead has given himself a bullets_buckshot.
[00:15:02	]that guy from walking dead has gained a 'Buckshot Shotgun Shells' #2693106.
[00:15:03	][IC] Sukk'Ma'Dicc: Meaning you got back up, even when in bleedout.
[00:15:03	]that guy from walking dead has given himself a bullets_buckshot.
[00:15:03	]that guy from walking dead has gained a 'Buckshot Shotgun Shells' #2693107.
[00:15:03	]that guy from walking dead has given himself a bullets_buckshot.
[00:15:03	]that guy from walking dead has gained a 'Buckshot Shotgun Shells' #2693108.
[00:15:06	]that guy from walking dead ran 'combine' on item '5rnd Shotgun Magazine' (#2693105)
[00:15:07	]that guy from walking dead ran 'combine' on item '5rnd Shotgun Magazine' (#2693104)
[00:15:07	]that guy from walking dead has lost a '5rnd Shotgun Magazine' #2693105.
[00:15:07	]that guy from walking dead used command '/ToggleRaise'.
[00:15:08	][IC] Sukk'Ma'Dicc: Now that's fixed I guess.
[00:15:14	]that guy from walking dead has hit Sukk'Ma'Dicc dealing 6 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 6 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has gained level 2 in the Guns skill.
[00:15:14	]that guy from walking dead has hit Sukk'Ma'Dicc dealing 6 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 6 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has gained level 3 in the Guns skill.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has hit Sukk'Ma'Dicc dealing 6 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 6 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has gained level 4 in the Guns skill.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has hit Sukk'Ma'Dicc dealing 6 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 6 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
[00:15:14	]that guy from walking dead has gained level 5 in the Guns skill.
[00:15:14	]that guy from walking dead has critically hit Sukk'Ma'Dicc dealing 8 damage (CritChance was 0.60).
[00:15:14	]Sukk'Ma'Dicc has taken 8 damage from that guy from walking dead.
