[21:26:07	]Atle has connected.
[21:26:42	]Atle loaded the character 'who dat be'
[21:26:50	]who dat be ran 'Equip' on item 'Combine PDA' (#146)
[21:29:05	]who dat be entered observer.
[21:29:13	]who dat be exited observer at their location.
[21:29:27	]who dat be used command '/CreateShop shopname'.
[21:34:34	]who dat be entered observer.
[21:34:36	]who dat be exited observer at their location.
[21:34:43	]who dat be has spawned 'models/props_combine/combine_interface001.mdl'.
[21:34:56	]who dat be has spawned 'models/props_combine/combine_interface001a.mdl'.
[21:35:19	]who dat be has fired a toolgun with the name: nocollideworld
[21:35:38	]Atle (STEAM_0:0:21027108) has disconnected.
