[03:05:39	]Votton has connected.
[03:06:57	]Votton loaded the character 'Votton'
[03:07:02	]Votton is fully healed.
[03:08:05	]Votton entered observer.
[03:08:06	]Votton exited observer at their location.
[03:08:11	]Votton entered observer.
[03:08:12	]Votton exited observer at their location.
[03:08:22	]Votton entered observer.
[03:08:33	]Votton loaded the character 'C17:RCT.YELLO-81'
[03:14:03	]C17:RCT.YELLO-81 has gone afk.
[03:16:57	]Votton (STEAM_0:1:46230933) has disconnected.
