[18:19:17	]Chris has connected.
[18:23:33	]Chris loaded the character 'VORT STAT TEST 1'
[18:23:38	]VORT STAT TEST 1 is fully healed.
[18:23:50	]VORT STAT TEST 1 used command '/EnterMeditation'.
[18:23:52	]VORT STAT TEST 1 used command '/EnterMeditation'.
[18:23:57	]VORT STAT TEST 1 used command '/vortessence'.
[18:25:10	]Chris created the character 'Null Vort test'
[18:25:10	]Chris loaded the character 'Null Vort test'
[18:25:10	]Null Vort test has gained a '#54766's Identity Card' #2047321.
[18:25:10	]Null Vort test has gained a 'Vortigaunt Brown Trousers' #2047322.
[18:25:28	]Null Vort test used command '/EnterMeditation'.
[18:25:29	]Null Vort test used command '/EnterMeditation'.
[18:31:10	]Null Vort test has gone afk.
[18:37:45	]Null Vort test is no longer afk. Total time spent AFK: 690
[18:40:21	]Null Vort test has damaged npc_combine_camera, dealing 5 with ix_hands
[18:40:22	]Null Vort test has damaged npc_combine_camera, dealing 5 with ix_hands
[18:40:23	]Null Vort test has damaged npc_combine_camera, dealing 5 with ix_hands
[18:40:24	]Null Vort test has damaged npc_combine_camera, dealing 5 with ix_hands
[18:40:25	]Null Vort test has damaged npc_combine_camera, dealing 5 with ix_hands
[18:42:58	]Null Vort test has taken 75 damage from worldspawn.
[18:48:45	]Null Vort test has gone afk.
[18:55:51	]Chris loaded the character 'Generic Old man test'
[18:55:51	]Generic Old man test is no longer afk. Total time spent AFK: 725
[18:56:23	]Chris loaded the character 'Null Vort test'
[18:56:28	]Null Vort test is fully healed.
[19:02:53	]Null Vort test has gone afk.
[19:04:03	]Null Vort test is no longer afk. Total time spent AFK: 365
[19:05:19	]Null Vort test used command '/ActSit'.
[19:19:17	]Chris (STEAM_0:0:29180550) has disconnected.
[22:51:53	]Neonity has connected.
[22:53:33	]Neonity loaded the character 'Neonity'
[22:54:40	]Neonity entered observer.
[22:55:27	]Neonity admin-searched the 'Trash Bin' #101376 container.
[22:55:27	]Neonity has used a context menu option with the name: wncontainer_view
[22:55:29	]Neonity admin-closed the 'Trash Bin' #101376 container.
[22:55:30	]Neonity admin-searched the 'Trash Bin' #101376 container.
[22:55:30	]Neonity has used a context menu option with the name: wncontainer_view
[22:55:41	]Neonity admin-closed the 'Trash Bin' #101376 container.
[22:57:49	]Neonity opened the 'Large Metal Cabinet' #101285 container.
[22:57:51	]Neonity closed the 'Large Metal Cabinet' #101285 container.
[22:57:52	]Neonity admin-searched the 'Large Metal Cabinet' #101285 container.
[22:57:52	]Neonity has used a context menu option with the name: wncontainer_view
[23:00:10	]Neonity admin-closed the 'Large Metal Cabinet' #101285 container.
[23:01:29	]Neonity has used a context menu option with the name: ixpropviewowner
[23:03:22	]Neonity has used a context menu option with the name: ixpropviewowner
[23:03:57	]Neonity (STEAM_0:1:55099154) has disconnected.
