[11:32:41	]thc has connected.
[11:33:23	]thc (STEAM_0:1:709534478) deleted character 'zzzzzzzzzz'
[11:34:21	]thc created the character 'Test Guy'
[11:34:22	]thc loaded the character 'Test Guy'
[11:34:22	]Test Guy has gained a '#27662's Identity Card' #306.
[11:34:22	]Test Guy has gained a 'Blue Shoes' #307.
[11:34:22	]Test Guy has gained a 'Blue Jacket' #308.
[11:34:22	]Test Guy has gained a 'Blue Pants' #309.
[11:35:01	][IC] Test Guy: Sada.
[11:35:05	][IC] Test Guy: Test.
[11:35:48	]Test Guy used command '/LinkRemove'.
[11:36:09	]Test Guy used command '/LinkAccount https://willard.network/forums/members/thc.3986/'.
[11:36:28	]Test Guy used command '/LinkComplete SPRVt6CA4C6Y'.
[11:37:37	]thc (STEAM_0:1:709534478) has disconnected.
