[14:33:52	]THC #vodkaenjoyer has connected.
[14:35:45	]THC #vodkaenjoyer created the character 'Crabbie'
[14:35:45	]THC #vodkaenjoyer loaded the character 'Crabbie'
[14:36:11	]Crabbie used command '/LinkRemove'.
[14:36:29	]Crabbie used command '/LinkAccount https://willard.network/forums/members/thc.3986/'.
[14:36:44	]Crabbie used command '/LinkComplete TDwExTlgygcJ'.
[14:38:00	]THC #vodkaenjoyer loaded the character 'Test Guy'
[14:46:00	]Test Guy has gone afk.
[14:49:45	]Test Guy is no longer afk. Total time spent AFK: 520
[14:49:52	]THC #vodkaenjoyer (STEAM_0:1:709534478) has disconnected.
