[02:59:14	]ulterior has connected.
[02:59:51	]ulterior loaded the character 'C24:i1.XRAY-74'
[02:59:55	]C24:i1.XRAY-74 is fully healed.
[02:59:57	]C24:i1.XRAY-74 entered observer.
[02:59:57	]C24:i1.XRAY-74 exited observer at their location.
[03:00:00	]C24:i1.XRAY-74 entered observer.
[03:00:00	]C24:i1.XRAY-74 exited observer at their location.
[03:00:05	]C24:i1.XRAY-74 has taken 221 damage from worldspawn.
[03:00:05	]C24:i1.XRAY-74 entered observer.
[03:00:05	]C24:i1.XRAY-74 is fully healed.
[03:00:06	]C24:i1.XRAY-74 exited observer at their location.
[03:00:09	]C24:i1.XRAY-74 entered observer.
[03:00:09	]C24:i1.XRAY-74 exited observer at their location.
[03:00:12	]C24:i1.XRAY-74 entered observer.
[03:00:12	]C24:i1.XRAY-74 exited observer at their location.
[03:00:15	]C24:i1.XRAY-74 has taken 118 damage from worldspawn.
[03:00:15	]C24:i1.XRAY-74 is fully healed.
[03:02:48	]C24:i1.XRAY-74 entered observer.
[03:02:50	]C24:i1.XRAY-74 exited observer at their location.
[03:02:50	]C24:i1.XRAY-74 has taken 42 damage from worldspawn.
[03:02:50	]C24:i1.XRAY-74 is fully healed.
[03:02:52	]C24:i1.XRAY-74 entered observer.
[03:02:58	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:58	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:58	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:58	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:58	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:59	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:59	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:59	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:02:59	]C24:i1.XRAY-74 destroyed a 'HK USP .45' #2237817.
[03:02:59	]C24:i1.XRAY-74 destroyed a 'Model 870' #2237798.
[03:02:59	]C24:i1.XRAY-74 destroyed a 'M16A2' #2237792.
[03:03:02	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:02	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:02	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:02	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:02	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:02	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:02	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:03	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:03	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:03	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:03	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:03	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:03	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:04	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:04	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:13	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:17	]C24:i1.XRAY-74 exited observer at their location.
[03:03:18	]C24:i1.XRAY-74 has fired a toolgun with the name: dynamite
[03:03:21	]C24:i1.XRAY-74 has taken 198 damage from C24:i1.XRAY-74.
[03:03:21	]C24:i1.XRAY-74 destroyed a 'Spas-12' #2237812.
[03:03:23	]C24:i1.XRAY-74 has taken 173 damage from C24:i1.XRAY-74.
[03:03:25	]C24:i1.XRAY-74 is fully healed.
[03:03:25	]C24:i1.XRAY-74 has taken 98 damage from C24:i1.XRAY-74.
[03:03:26	]C24:i1.XRAY-74 destroyed a 'Spas-12' #2237780.
[03:03:26	]C24:i1.XRAY-74 has taken 124 damage from C24:i1.XRAY-74.
[03:03:26	]C24:i1.XRAY-74 has taken 142 damage from C24:i1.XRAY-74.
[03:03:26	]C24:i1.XRAY-74 has taken 159 damage from C24:i1.XRAY-74.
[03:03:26	]C24:i1.XRAY-74 has taken 170 damage from C24:i1.XRAY-74.
[03:03:28	]C24:i1.XRAY-74 has taken 103 damage from C24:i1.XRAY-74.
[03:03:28	]C24:i1.XRAY-74 destroyed a 'Model 870' #2237799.
[03:03:28	]C24:i1.XRAY-74 has taken 126 damage from C24:i1.XRAY-74.
[03:03:28	]C24:i1.XRAY-74 has taken 140 damage from C24:i1.XRAY-74.
[03:03:28	]C24:i1.XRAY-74 has taken 151 damage from C24:i1.XRAY-74.
