[00:08:21	]Kranky has connected.
[00:10:18	]Kranky loaded the character 'Xi-Gong'
[00:12:02	]Xi-Gong has spawned 'models/willardnetworks/skills/medx.mdl'.
[00:12:06	]Xi-Gong has spawned 'models/willardnetworks/props/reshaped_metal.mdl'.
[00:12:19	][IC] Xi-Gong: Gong...
[00:13:06	]Xi-Gong has spawned 'models/willard/work/bolt1.mdl'.
[00:13:10	]Xi-Gong has spawned 'models/n7/props/n7_cid_card.mdl'.
[00:13:17	]Xi-Gong has spawned 'models/willardnetworks/misc/idcard.mdl'.
[00:13:21	]Xi-Gong has spawned 'models/willardnetworks/misc/customvendingmachine.mdl'.
[00:13:55	]Xi-Gong has spawned 'models/willardnetworks/skills/fabric.mdl'.
[00:14:17	]Xi-Gong has spawned 'models/willardnetworks/skills/fabric.mdl'.
[00:14:24	]Xi-Gong has spawned 'models/willardnetworks/skills/stitched_cloth.mdl'.
[00:14:26	]Xi-Gong has spawned 'models/willardnetworks/skills/fabric.mdl'.
[00:23:32	]Kranky (STEAM_0:1:110380124) has disconnected.
[02:11:45	]garry has connected.
[02:13:28	]garry loaded the character 'sadasdasdasd'
[02:14:28	]sadasdasdasd used the 'Munition Lady' vendor.
[02:14:45	]sadasdasdasd has gained 0 chips.
[02:14:45	]sadasdasdasd has gained a 'OSPR2A-EXP' #1660982.
[02:15:30	]sadasdasdasd used the 'Munition Lady' vendor.
[02:15:43	]sadasdasdasd has gained 0 chips.
[02:15:43	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660983.
[02:15:43	]sadasdasdasd has gained 0 chips.
[02:15:43	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660984.
[02:15:44	]sadasdasdasd has gained 0 chips.
[02:15:44	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660985.
[02:15:44	]sadasdasdasd has gained 0 chips.
[02:15:44	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660986.
[02:15:45	]sadasdasdasd has gained 0 chips.
[02:15:45	]sadasdasdasd has gained a '30rnd Pulse-magazine' #1660987.
[02:15:48	]sadasdasdasd has gained 0 chips.
[02:15:48	]sadasdasdasd has gained a 'Heavy Pulse Rounds' #1660988.
[02:15:48	]sadasdasdasd has gained 0 chips.
