[14:17:40	]Rabithunter has connected.
[14:18:30	]Rabithunter loaded the character 'Pathfinder'
[14:18:35	]Pathfinder is fully healed.
[14:19:11	]Pathfinder has given himself a cca_expeditionary.
[14:19:11	]Pathfinder has gained a 'The Expeditionary' #3111072.
[14:19:46	]Pathfinder has given himself a cca_investigator.
[14:19:46	]Pathfinder has gained a 'The Investigator' #3111073.
[14:21:22	]Pathfinder entered observer.
[14:21:24	]Pathfinder exited observer at their location.
[14:21:54	]Rabithunter (STEAM_0:1:22394854) has disconnected.
