[18:06:12	]reece has connected.
[18:08:01	]reece created the character 'fwafgawawf'
[18:08:01	]fwafgawawf has gained a 'Flashlight' #10.
[18:08:01	]fwafgawawf has gained a 'Light Grey Armband' #11.
[18:08:01	]fwafgawawf has gained a '#04542's Identity Card' #12.
[18:08:02	]reece loaded the character 'fwafgawawf'
[18:08:27	]fwafgawawf entered observer.
[18:08:28	]fwafgawawf exited observer at their location.
[18:09:14	]reece (STEAM_0:1:158746618) has disconnected.
