[14:16:48	]Rabithunter has connected.
[14:18:52	]Rabithunter loaded the character 'Administrator Markie-O'Vello'
[14:19:18	]Administrator Markie-O'Vello has given himself a cca_coat_indigo.
[14:19:18	]Administrator Markie-O'Vello has gained a 'The Indigo of the Future' #2688915.
[14:19:26	]Administrator Markie-O'Vello has given himself a cca_legs_indigo.
[14:19:26	]Administrator Markie-O'Vello has gained a 'The Indigo of Tomorrow Trousers' #2688916.
[14:19:51	]Administrator Markie-O'Vello has fired a toolgun with the name: lamp
[14:19:56	]Administrator Markie-O'Vello has fired a toolgun with the name: lamp
[14:20:35	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[19:03:42	]Nesh has connected.
[19:05:05	]Nesh loaded the character 'C31:RCT.YELLO-42'
[19:05:15	]C31:RCT.YELLO-42 entered observer.
[19:05:24	]C31:RCT.YELLO-42 exited observer at their location.
[19:05:33	]C31:RCT.YELLO-42 ran 'take' on item 'Overwatch Standard-Issue Carbine' (#2688910)
[19:05:33	]C31:RCT.YELLO-42 has gained a 'Overwatch Standard-Issue Carbine' #2688910.
[19:05:35	]C31:RCT.YELLO-42 ran 'Equip' on item 'Overwatch Standard-Issue Carbine' (#2688910)
[19:05:55	]C31:RCT.YELLO-42 is fully healed.
[19:05:56	][IC] C31:RCT.YELLO-42: <:: H. ::>
[19:06:09	]C31:RCT.YELLO-42 used command '/PlyWhitelist 42 Overwatch Transhuman arm'.
[19:06:23	]C31:RCT.YELLO-42 used command '/PlyWhitelist 42 Dispatch'.
[19:06:39	]C31:RCT.YELLO-42 entered observer.
[19:07:05	]C31:RCT.YELLO-42 exited observer at their location.
[19:07:19	]C31:RCT.YELLO-42 has given himself a uniform_ord.
[19:07:19	]C31:RCT.YELLO-42 has gained a 'OTA Ordinal Uniform' #2688917.
[19:07:20	]C31:RCT.YELLO-42 has given himself a mask_ota.
[19:07:20	]C31:RCT.YELLO-42 has gained a 'OTA Mask' #2688918.
[19:07:29	]C31:RCT.YELLO-42 ran 'EquipUn' on item 'Combine Filter' (#2134574)
[19:07:30	]C31:RCT.YELLO-42 ran 'drop' on item 'PMG-5 (AUG) Gasmask' (#2134554)
[19:07:30	]C31:RCT.YELLO-42 has lost a 'PMG-5 (AUG) Gasmask' #2134554.
[19:07:33	]C31:RCT.YELLO-42 ran 'take' on item 'PMG-5 (AUG) Gasmask' (#2134554)
[19:07:33	]C31:RCT.YELLO-42 has gained a 'PMG-5 (AUG) Gasmask' #2134554.
[19:08:07	][IC] C31:RCT.YELLO-42: <:: Unit is moving in. ::>
[19:08:54	]C31:RCT.YELLO-42 used command '/PlyWhitelist 42 Overwatch Transhuman Arm'.
[19:09:07	]C31:RCT.YELLO-42 used command '/PlyWhitelist 42 OTA'.
[19:09:34	]Nesh (STEAM_0:1:545569447) deleted character 'John Rebel'
[19:09:37	]Nesh (STEAM_0:1:545569447) deleted character 'Horatio Nolwenn'
[19:09:39	]Nesh (STEAM_0:1:545569447) deleted character 'Robert Myers'
[19:10:36	]Nesh created the character 'S10/OWS.GHOST-46'
[19:10:36	]C31:RCT.YELLO-42 has gained level 40 in the Guns skill.
[19:10:36	]C31:RCT.YELLO-42 has gained level 40 in the Speed skill.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'Small Bag' #2688919.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'Large Bag' #2688920.
[19:10:36	]Nesh loaded the character 'S10/OWS.GHOST-46'
[19:10:36	]S10/OWS.GHOST-46 has gained a 'Flashlight' #2688921.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'Combine PDA' #2688922.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'OTA Uniform' #2688923.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'OTA Mask' #2688924.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'Rappel Gear' #2688925.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'Magazine Pouch' #2688926.
[19:10:36	]S10/OWS.GHOST-46 has gained a 'Ammunition Pouch' #2688927.
[19:10:43	]S10/OWS.GHOST-46 entered observer.
[19:11:01	]S10/OWS.GHOST-46 ran 'Equip' on item 'Rappel Gear' (#2688925)
[19:11:02	]S10/OWS.GHOST-46 ran 'Equip' on item 'Combine PDA' (#2688922)
[19:11:14	]S10/OWS.GHOST-46 exited observer at their location.
[19:11:16	]S10/OWS.GHOST-46 used the '<:: Overwatch Requisition ::>' vendor.
[19:11:24	]S10/OWS.GHOST-46 has gained 0 chips.
[19:11:24	]S10/OWS.GHOST-46 has gained a 'Containment Uniform' #2688928.
[19:11:46	]S10/OWS.GHOST-46 used the '<:: Overwatch Requisition ::>' vendor.
[19:12:23	]S10/OWS.GHOST-46 has given himself a cmb_psmg.
[19:12:23	]S10/OWS.GHOST-46 has gained a 'Overwatch Pulse Submachine-gun' #2688929.
[19:12:25	]S10/OWS.GHOST-46 ran 'Equip' on item 'Overwatch Pulse Submachine-gun' (#2688929)
[19:12:28	]S10/OWS.GHOST-46 ran 'EquipUn' on item 'Combine PDA' (#2688922)
[19:12:29	]S10/OWS.GHOST-46 ran 'EquipUn' on item 'Rappel Gear' (#2688925)
[19:12:30	]S10/OWS.GHOST-46 ran 'Equip' on item 'Overwatch Pulse Submachine-gun' (#2688929)
[19:12:31	]S10/OWS.GHOST-46 ran 'Equip' on item 'Combine PDA' (#2688922)
[19:12:32	]S10/OWS.GHOST-46 ran 'Equip' on item 'Rappel Gear' (#2688925)
[19:12:44	][IC] S10/OWS.GHOST-46: <:: Eugh, three parasitics inbound. ::>
[19:12:54	]S10/OWS.GHOST-46 ran 'EquipUn' on item 'Overwatch Pulse Submachine-gun' (#2688929)
[19:12:55	]S10/OWS.GHOST-46 ran 'Equip' on item 'Overwatch Pulse Submachine-gun' (#2688929)
[19:12:56	]S10/OWS.GHOST-46 ran 'EquipUn' on item 'Overwatch Pulse Submachine-gun' (#2688929)
[19:12:57	]S10/OWS.GHOST-46 ran 'Equip' on item 'Overwatch Pulse Submachine-gun' (#2688929)
