[12:57:58	]Atle has connected.
[12:58:46	]Atle loaded the character 'testing char'
[12:59:05	]testing char used command '/clothingcreator'.
[13:00:03	]testing char has spawned a torso_blue_shirt.
[13:00:07	][IC] testing char: Rthrh.
[13:00:11	]testing char used command '/CharGiveItem testing flashlight'.
[13:00:11	]testing char has gained a 'Flashlight' #342.
[13:00:19	][IC] testing char: Rthrh.
[13:00:25	]testing char used command '/clothingcreator'.
[13:05:16	]testing char has gone afk.
[13:11:21	]testing char is no longer afk. Total time spent AFK: 660
[13:16:51	]testing char has gone afk.
[13:44:31	]testing char is no longer afk. Total time spent AFK: 1955
[13:44:31	]testing char used command '/clothingcreator'.
[13:49:31	]testing char has gone afk.
[13:58:11	]testing char is no longer afk. Total time spent AFK: 815
[13:59:38	]testing char used command '/clothingcreator'.
[14:04:41	]testing char has gone afk.
[14:32:01	]testing char is no longer afk. Total time spent AFK: 1935
[14:33:46	]testing char has spawned a torso_sporty_jacket.
[14:34:03	]testing char used command '/clothingcreator'.
[14:37:21	]testing char is fully healed.
[14:39:31	]testing char has gone afk.
[14:41:03	]Atle (STEAM_0:0:21027108) has disconnected.
[15:24:19	]ella has connected.
[15:26:05	]ella (STEAM_0:1:104557387) has disconnected.
