[10:54:35	]M!NT has connected.
[10:55:28	]M!NT loaded the character 'Adalia Torres'
[10:55:33	]Adalia Torres is fully healed.
[10:56:02	]Adalia Torres set shootDbLevelReduction to '12'.
[10:56:15	]Adalia Torres entered observer.
[10:56:34	]Adalia Torres exited observer at their location.
[10:56:37	]Adalia Torres entered observer.
[10:57:10	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlrdc_keller]'.
[10:57:10	]Adalia Torres exited observer at their location.
[10:57:11	]Adalia Torres has hit npc_vj_hlrdc_keller in the head dealing 18 damage (CritChance was 0.14).
[10:57:11	]Adalia Torres has hit npc_vj_hlrdc_keller in the head dealing 18 damage (CritChance was 0.14).
[10:57:11	]Adalia Torres has critically hit npc_vj_hlrdc_keller in the chest dealing 25 damage (CritChance was 0.43).
[10:57:11	]Adalia Torres has hit npc_vj_hlrdc_keller in the head dealing 18 damage (CritChance was 0.14).
[10:57:12	]Adalia Torres has hit npc_vj_hlrdc_keller in the head dealing 18 damage (CritChance was 0.14).
[10:57:12	]Adalia Torres has critically hit npc_vj_hlrdc_keller in the head dealing 35 damage (CritChance was 0.14).
[10:57:12	]Adalia Torres has hit npc_vj_hlrdc_keller in the head dealing 18 damage (CritChance was 0.14).
[10:57:20	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlr1_assassin_female]'.
[10:57:22	]Adalia Torres has taken 5 damage from Black Ops Female Assassin.
[10:57:22	]Adalia Torres has taken 5 damage from Black Ops Female Assassin.
[10:57:22	]Adalia Torres has taken 5 damage from Black Ops Female Assassin.
[10:57:23	]Adalia Torres is fully healed.
[10:57:32	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlr1a_ivan]'.
[10:57:33	]Adalia Torres has hit npc_vj_hlr1a_ivan in the head dealing 18 damage (CritChance was 0.14).
[10:57:34	]Adalia Torres has critically hit npc_vj_hlr1a_ivan in the head dealing 35 damage (CritChance was 0.14).
[10:57:34	]Adalia Torres has hit npc_vj_hlr1a_ivan in the head dealing 18 damage (CritChance was 0.14).
[10:57:34	]Adalia Torres has hit npc_vj_hlr1a_ivan in the head dealing 18 damage (CritChance was 0.14).
[10:57:34	]Adalia Torres has hit npc_vj_hlr1a_ivan in the head dealing 18 damage (CritChance was 0.14).
[10:57:34	]Adalia Torres has hit npc_vj_hlr1a_ivan in the head dealing 18 damage (CritChance was 0.14).
[10:57:39	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlr1_hgrunt_serg]'.
[10:57:40	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the chest dealing 15 damage (CritChance was 0.43).
[10:57:40	]Adalia Torres has taken 5 damage from Human Sergeant.
[10:57:41	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:41	]Adalia Torres has taken 5 damage from Human Sergeant.
[10:57:41	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:41	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:41	]Adalia Torres has taken 5 damage from Human Sergeant.
[10:57:42	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:42	]Adalia Torres has taken 5 damage from Human Sergeant.
[10:57:42	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:42	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:43	]Adalia Torres is fully healed.
[10:57:43	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:43	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:43	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:44	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:44	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:45	]Adalia Torres has taken 10 damage from Human Sergeant.
[10:57:46	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:47	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:48	]Adalia Torres is fully healed.
[10:57:48	]Adalia Torres has critically hit npc_vj_hlr1_hgrunt_serg in the chest dealing 25 damage (CritChance was 0.43).
[10:57:48	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:48	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the left arm dealing 8 damage (CritChance was 0.43).
[10:57:48	]Adalia Torres has taken 1 damage from Human Sergeant.
[10:57:48	]Adalia Torres has critically hit npc_vj_hlr1_hgrunt_serg in the chest dealing 25 damage (CritChance was 0.43).
[10:57:48	]Adalia Torres has critically hit npc_vj_hlr1_hgrunt_serg in the chest dealing 25 damage (CritChance was 0.43).
[10:57:48	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the head dealing 18 damage (CritChance was 0.14).
[10:57:48	]Adalia Torres has critically hit npc_vj_hlr1_hgrunt_serg in the right arm dealing 12 damage (CritChance was 0.43).
[10:57:48	]Adalia Torres has critically hit npc_vj_hlr1_hgrunt_serg in the right arm dealing 12 damage (CritChance was 0.43).
[10:57:49	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the stomach dealing 14 damage (CritChance was 0.58).
[10:57:49	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the chest dealing 15 damage (CritChance was 0.43).
[10:57:49	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the left arm dealing 8 damage (CritChance was 0.43).
[10:57:49	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the chest dealing 15 damage (CritChance was 0.43).
[10:57:49	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the head dealing 18 damage (CritChance was 0.14).
[10:57:49	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the head dealing 18 damage (CritChance was 0.14).
[10:57:49	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the head dealing 18 damage (CritChance was 0.14).
[10:57:49	]Adalia Torres has critically hit npc_vj_hlr1_hgrunt_serg in the head dealing 35 damage (CritChance was 0.14).
[10:57:53	]Adalia Torres is fully healed.
[10:57:57	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlr1_bullsquid]'.
[10:57:57	]Adalia Torres has hit npc_vj_hlr1_bullsquid dealing 12 damage (CritChance was 0.72).
[10:57:58	]Adalia Torres has hit npc_vj_hlr1_bullsquid dealing 12 damage (CritChance was 0.72).
[10:57:58	]Adalia Torres has critically hit npc_vj_hlr1_bullsquid dealing 19 damage (CritChance was 0.72).
[10:57:58	]Adalia Torres has critically hit npc_vj_hlr1_bullsquid dealing 19 damage (CritChance was 0.72).
[10:57:58	]Adalia Torres has hit npc_vj_hlr1_bullsquid dealing 12 damage (CritChance was 0.72).
[10:57:58	]Adalia Torres has critically hit npc_vj_hlr1_bullsquid dealing 19 damage (CritChance was 0.72).
[10:57:59	]Adalia Torres has hit npc_vj_hlr1_bullsquid dealing 12 damage (CritChance was 0.72).
[10:58:07	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlr1_houndeye]'.
[10:58:08	]Adalia Torres has hit npc_vj_hlr1_houndeye in the head dealing 18 damage (CritChance was 0.14).
[10:58:08	]Adalia Torres has hit npc_vj_hlr1_houndeye in the head dealing 18 damage (CritChance was 0.14).
[10:58:08	]Adalia Torres has hit npc_vj_hlr1_houndeye in the head dealing 18 damage (CritChance was 0.14).
[10:58:08	]Adalia Torres has critically hit npc_vj_hlr1_houndeye dealing 19 damage (CritChance was 0.72).
[10:58:08	]Adalia Torres has critically hit npc_vj_hlr1_houndeye dealing 19 damage (CritChance was 0.72).
[10:58:08	]Adalia Torres has hit npc_vj_hlr1_houndeye dealing 12 damage (CritChance was 0.72).
[10:58:08	]Adalia Torres has critically hit npc_vj_hlr1_houndeye dealing 19 damage (CritChance was 0.72).
[10:58:08	]Adalia Torres has critically hit npc_vj_hlr1_houndeye dealing 19 damage (CritChance was 0.72).
[10:58:13	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlrof_gonome]'.
[10:58:13	]Adalia Torres has hit npc_vj_hlrof_gonome in the head dealing 18 damage (CritChance was 0.14).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the head dealing 18 damage (CritChance was 0.14).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the head dealing 18 damage (CritChance was 0.14).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the head dealing 18 damage (CritChance was 0.14).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the head dealing 18 damage (CritChance was 0.14).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the chest dealing 15 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the chest dealing 15 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the chest dealing 15 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has critically hit npc_vj_hlrof_gonome in the chest dealing 25 damage (CritChance was 0.43).
[10:58:14	]Adalia Torres has hit npc_vj_hlrof_gonome in the chest dealing 15 damage (CritChance was 0.43).
[10:58:22	]Adalia Torres has spawned a 'NPC [6439][npc_vj_hlrof_hgrunt]'.
[10:58:24	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:24	]Adalia Torres has hit npc_vj_hlrof_hgrunt in the right leg dealing 7 damage (CritChance was 0.43).
[10:58:24	]Adalia Torres has hit npc_vj_hlrof_hgrunt in the stomach dealing 14 damage (CritChance was 0.58).
[10:58:24	]Adalia Torres has taken 5 damage from Human Grunt.
[10:58:25	]Adalia Torres has taken 5 damage from Human Grunt.
[10:58:25	]Gutsy has connected.
[10:58:25	]Adalia Torres has taken 10 damage from Human Grunt.
[10:58:25	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:26	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:27	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:27	]Adalia Torres has taken 5 damage from Human Grunt.
[10:58:27	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:28	]Adalia Torres is fully healed.
[10:58:28	]Adalia Torres has taken 5 damage from Human Grunt.
[10:58:29	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:29	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:29	]Adalia Torres has hit npc_vj_hlrof_hgrunt in the head dealing 18 damage (CritChance was 0.14).
[10:58:29	]Adalia Torres has hit npc_vj_hlrof_hgrunt in the head dealing 18 damage (CritChance was 0.14).
[10:58:30	]Adalia Torres has taken 5 damage from Human Grunt.
[10:58:30	]Adalia Torres has taken 1 damage from Human Grunt.
[10:58:31	]Adalia Torres has taken 5 damage from Human Grunt.
[10:58:31	]Adalia Torres has critically hit npc_vj_hlrof_hgrunt in the chest dealing 25 damage (CritChance was 0.43).
[10:58:31	]Adalia Torres has hit npc_vj_hlrof_hgrunt in the left arm dealing 8 damage (CritChance was 0.43).
[10:58:33	]Adalia Torres is fully healed.
[10:58:51	]Adalia Torres has spawned a 'NPC [6453][npc_vj_hlr1_hgrunt_serg]'.
[10:58:52	]Adalia Torres has critically hit npc_vj_hlr1_hgrunt_serg in the left arm dealing 21 damage (CritChance was 0.43).
[10:58:52	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the head dealing 31 damage (CritChance was 0.14).
[10:58:52	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the head dealing 31 damage (CritChance was 0.14).
[10:58:52	]Adalia Torres has taken 5 damage from Human Sergeant.
[10:58:52	]Adalia Torres has hit npc_vj_hlr1_hgrunt_serg in the head dealing 31 damage (CritChance was 0.14).
