[03:09:35	]Guido Schwarz used command '/SpawnAdd citizen'.
[03:09:40	]Guido Schwarz used command '/SpawnAdd citizen'.
[03:09:47	]Guido Schwarz used command '/SpawnAdd citizen'.
[03:09:50	]Guido Schwarz used command '/SpawnAdd citizen'.
[03:10:01	]Beab Ghraszt used command '/Staff Then again if I see someone in the outlands I will just zippy hunter them'.
[03:10:09	]Guido Schwarz used command '/SpawnAdd vortigaunt biotic'.
[03:10:11	]Guido Schwarz entered observer.
[03:10:17	]Guido Schwarz exited observer at their location.
[03:10:21	]Guido Schwarz used command '/SpawnAdd vortigaunt biotic'.
[03:10:23	]Guido Schwarz used command '/SpawnAdd vortigaunt biotic'.
[03:10:23	]Guido Schwarz entered observer.
[03:10:36	]Guido Schwarz exited observer at their location.
[03:10:42	]Guido Schwarz used command '/SpawnAdd medi'.
[03:10:45	]Guido Schwarz used command '/SpawnAdd medi'.
[03:10:48	]Guido Schwarz used command '/SpawnAdd worker'.
[03:10:52	]Guido Schwarz used command '/SpawnAdd worker'.
[03:10:53	]Guido Schwarz entered observer.
[03:11:08	]Guido Schwarz exited observer at their location.
[03:11:13	]Guido Schwarz has taken 8 damage from Hunter Synth.
[03:11:13	]Guido Schwarz used command '/SpawnAdd entertain'.
[03:11:13	]Guido Schwarz entered observer.
[03:11:18	]Guido Schwarz has used a context menu option with the name: vj_pr_npc_slay
[03:11:19	]Beab Ghraszt entered observer.
[03:11:27	]Guido Schwarz used command '/Staff Trying to set shit up'.
[03:11:28	]Beab Ghraszt used command '/Staff You got hunter'd'.
[03:11:32	]Guido Schwarz has used a context menu option with the name: remove
[03:11:42	]Beab Ghraszt used command '/Staff Oh I see'.
[03:11:59	]Beab Ghraszt used command '/Staff We should allow rebels to ambush the convoy :troll:'.
[03:12:09	]Guido Schwarz used command '/Staff Now how many people will run from the bus spawn?'.
[03:12:11	]Beab Ghraszt exited observer at their location.
[03:12:12	]Beab Ghraszt entered observer.
[03:12:15	]Beab Ghraszt used command '/Staff yes'.
[03:12:34	]Guido Schwarz used command '/Staff We will just bring out a early Strider'.
[03:12:45	]Guido Schwarz has spawned a 'NPC [4648][npc_vj_hlrof_assassin_apache]'.
[03:12:48	]Beab Ghraszt opened the 'Crate' #101375 container.
[03:12:49	]Beab Ghraszt closed the 'Crate' #101375 container.
[03:12:51	]Guido Schwarz used command '/Staff Ah yes'.
[03:12:53	]Guido Schwarz used command '/Staff Perfect'.
[03:13:03	]Beab Ghraszt exited observer at their location.
[03:13:03	]Guido Schwarz exited observer at their location.
[03:13:04	]Beab Ghraszt has taken 3 damage from Black Ops AH-64 Apache.
[03:13:04	]Beab Ghraszt has taken 3 damage from Black Ops AH-64 Apache.
[03:13:04	]Beab Ghraszt has taken 3 damage from Black Ops AH-64 Apache.
[03:13:04	]Beab Ghraszt has taken 3 damage from Black Ops AH-64 Apache.
[03:13:04	]Beab Ghraszt entered observer.
[03:13:04	]Guido Schwarz entered observer.
[03:13:12	]Beab Ghraszt has spawned a 'NPC [4697][npc_vj_strider_synth_z]'.
[03:13:28	]Beab Ghraszt has spawned a 'NPC [4642][npc_vj_combine_apc_z]'.
