[19:06:59	]M!NT has connected.
[19:07:26	]M!NT loaded the character 'Test char pls ignore'
[19:07:31	]Test char pls ignore is fully healed.
[19:07:46	]Test char pls ignore entered observer.
[19:08:05	]Test char pls ignore exited observer at their location.
[19:08:06	]Test char pls ignore entered observer.
[19:08:06	]Test char pls ignore exited observer at their location.
[19:08:07	]Test char pls ignore entered observer.
[19:08:09	]Test char pls ignore exited observer at their location.
[19:08:10	]Test char pls ignore entered observer.
[19:08:10	]Test char pls ignore exited observer at their location.
[19:08:11	]Test char pls ignore entered observer.
[19:08:11	]Test char pls ignore exited observer at their location.
[19:08:11	]Test char pls ignore entered observer.
[19:08:12	]Test char pls ignore exited observer at their location.
[19:08:12	]Test char pls ignore entered observer.
[19:08:20	]Test char pls ignore exited observer at their location.
[19:08:23	]Test char pls ignore entered observer.
[19:08:26	]Test char pls ignore exited observer at their location.
[19:08:29	]Test char pls ignore has taken 22 damage from worldspawn.
[19:08:30	]Test char pls ignore entered observer.
[19:09:03	]M!NT loaded the character 'Andriy Andreeva'
[19:09:08	]Andriy Andreeva is fully healed.
[19:10:14	]Andriy Andreeva entered observer.
[19:10:17	]Andriy Andreeva exited observer at their location.
[19:10:17	]Andriy Andreeva entered observer.
[19:10:18	]Andriy Andreeva exited observer at their location.
[19:10:18	]Andriy Andreeva entered observer.
[19:10:20	]Andriy Andreeva exited observer at their location.
[19:10:20	]Andriy Andreeva entered observer.
[19:10:21	]Andriy Andreeva exited observer at their location.
[19:10:22	]Andriy Andreeva entered observer.
[19:10:24	]Andriy Andreeva exited observer at their location.
[19:10:24	]Andriy Andreeva entered observer.
[19:10:40	]M!NT loaded the character 'Anne Rayen'
[19:10:45	]Anne Rayen is fully healed.
[19:11:06	]Anne Rayen ran 'drop' on item 'Small Bag' (#1360079)
[19:11:06	]Anne Rayen has lost a 'Small Bag' #1360079.
[19:11:06	]Anne Rayen has lost a 'C24 Relocation Coupon' #1370221.
[19:11:06	]Anne Rayen has lost a 'CMU PDA' #1214882.
[19:11:06	]Anne Rayen has lost a 'Flashlight' #1541924.
[19:11:06	]Anne Rayen has lost a 'Water Bottle' #1448327.
[19:11:06	]Anne Rayen has lost a 'CMU Radio' #1643225.
[19:11:12	]Anne Rayen ran 'take' on item 'Small Bag' (#1360079)
[19:11:12	]Anne Rayen has gained a 'Small Bag' #1360079.
[19:11:12	]Anne Rayen has gained a 'C24 Relocation Coupon' #1370221.
[19:11:12	]Anne Rayen has gained a 'CMU PDA' #1214882.
[19:11:12	]Anne Rayen has gained a 'Flashlight' #1541924.
[19:11:12	]Anne Rayen has gained a 'Water Bottle' #1448327.
[19:11:12	]Anne Rayen has gained a 'CMU Radio' #1643225.
[19:11:18	]Anne Rayen ran 'Open' on item 'CMU PDA' (#1214882)
[19:11:33	]M!NT loaded the character 'Andriy Andreeva'
[19:11:42	]Andriy Andreeva ran 'Equip' on item 'Combine PDA' (#1647279)
[19:12:30	]M!NT loaded the character 'Alyosha Domnin'
[19:12:35	]Alyosha Domnin is fully healed.
[19:12:42	]Alyosha Domnin entered observer.
[19:12:46	]Alyosha Domnin exited observer at their location.
[19:12:47	]Alyosha Domnin entered observer.
[19:12:50	]Alyosha Domnin exited observer at their location.
[19:12:51	]Alyosha Domnin entered observer.
[19:12:53	]Alyosha Domnin exited observer at their location.
[19:12:53	]Alyosha Domnin entered observer.
[19:13:42	]Alyosha Domnin exited observer at their location.
