[12:53:48	]thc has connected.
[12:54:29	]thc loaded the character 'thc'
[12:54:43	]thc entered observer.
[12:58:03	]thc (STEAM_0:1:709534478) has disconnected.
[16:32:22	]Kranky has connected.
[16:35:14	]Kranky (STEAM_0:1:110380124) deleted character 'Gong galalang'
[16:36:14	]Kranky created the character 'Travis Scott'
[16:36:14	]Travis Scott has gained a 'Flashlight' #2052888.
[16:36:14	]Travis Scott has gained a 'Light Grey Armband' #2052889.
[16:36:14	]Travis Scott has gained a '#51347's Identity Card' #2052890.
[16:36:14	]Kranky loaded the character 'Travis Scott'
[16:36:14	]Travis Scott has gained a 'Black Jumpsuit' #2052891.
[16:36:14	]Travis Scott has gained a 'Black Jumpsuit Trousers' #2052892.
[16:36:14	]Travis Scott has gained a 'Dark Leather Boots' #2052893.
[16:36:37	]Travis Scott used command '/ToggleMentor'.
[16:36:54	]Kranky (STEAM_0:1:110380124) has disconnected.
